,count,unique,top,freq,mean,std,min,25%,50%,75%,max
interaction_id,50000.0,,,,25000.5,14433.90106658626,1.0,12500.75,25000.5,37500.25,50000.0
user_id,50000.0,,,,2495.48862,1443.172051871128,1.0,1246.0,2499.0,3749.0,5000.0
item_id,50000.0,,,,250.84494,144.01321485376766,1.0,126.0,252.0,374.0,500.0
rating,50000.0,,,,3.29749,0.8505934223137407,1.0,2.5,3.5,4.0,5.0
interaction_type,50000,4,view,33861,,,,,,,
view_time_sec,50000.0,,,,156.61736,111.28596029117762,6.0,75.0,130.0,208.0,599.0
age_group,50000,6,25-34,12360,,,,,,,
financial_goal,50000,8,debt_management,9920,,,,,,,
financial_knowledge,50000,3,beginner,29798,,,,,,,
risk_tolerance,50000,3,medium,22069,,,,,,,
occupation,50000,6,professional,14921,,,,,,,
income_range,50000,5,80k-120k,15862,,,,,,,
title,50000,271,Getting Started with Tax Deductions,527,,,,,,,
primary_topic,50000,8,Retirement Planning,7303,,,,,,,
subtopic,50000,36,social_security,2643,,,,,,,
difficulty,50000,3,beginner,25329,,,,,,,
content_type,50000,5,article,24313,,,,,,,
description,50000,249,A intermediate level article about social security for retirement planning.,734,,,,,,,
summary,50000,232,Explore detailed strategies for social security. This article builds on basic knowledge to help you make informed decisions.,734,,,,,,,
content_length,50000,311,3 min,775,,,,,,,
author,50000,25,Sarah Williams,2923,,,,,,,
